website;m;pos;adstart;adfirst;admid;adthird;adcomplete;adclick;adpaused;adresume
492;5;0;1;1;0;0;0;0;0;0
492;5;0;351;308;291;264;241;69;21;0
492;1;0;68;60;53;51;49;14;0;0
492;9;0;1;1;1;1;1;0;0;0
492;8;3;20;16;12;12;11;4;0;0
492;1;0;1;0;0;0;0;1;1;0
492;5;0;4;2;2;1;1;2;0;0
492;12;3;2;2;2;1;1;1;0;0
492;4;0;69;56;52;44;43;11;3;0
492;3;1;113;91;69;64;57;88;43;0
492;7;0;5;5;5;2;2;3;0;0
492;12;0;9;8;7;7;7;2;0;0
492;4;0;16;11;9;8;7;5;2;0
492;10;0;78;62;52;49;43;26;4;0
492;10;0;8;6;5;2;2;5;2;0
492;4;0;84;76;67;63;61;20;6;0
492;10;0;2;2;2;2;2;0;0;0
492;6;0;1;1;0;0;0;0;0;0
492;9;0;28;24;19;16;15;20;10;0
492;9;0;34;28;24;20;19;16;2;0
492;8;3;32;24;19;17;14;15;5;0
492;2;0;1;1;1;1;1;1;1;0
492;11;0;17;15;15;13;13;4;4;0
492;5;0;123;91;77;67;63;54;9;0
492;3;0;1;1;1;0;0;1;0;0
492;1;1;3;3;3;3;3;0;0;0
492;9;0;1;1;1;1;1;0;0;0
492;10;0;1;1;1;1;0;0;0;0
492;1;4;1;1;1;1;1;0;0;0
492;8;0;30;29;25;23;22;8;0;0
492;4;0;77;68;61;57;50;49;33;0
492;9;0;14;12;12;6;5;6;2;0
492;3;1;136;121;101;91;79;56;18;0
492;10;1;5;5;4;4;3;0;0;0
492;6;1;24;25;25;22;22;4;4;0
492;12;0;11;9;8;8;8;2;1;0
492;3;0;47;38;34;32;28;18;9;0
492;6;0;3;2;2;2;1;1;1;0
492;2;4;9;8;4;4;4;9;4;0
492;12;2;2;2;2;2;2;0;1;0
492;11;0;31;29;27;25;21;9;1;0
492;4;0;18;17;16;13;13;5;2;0
492;9;0;6;5;5;3;3;1;0;0
492;11;1;2;2;2;2;2;0;0;0
492;8;0;3;3;3;3;3;0;0;0
492;8;0;67;60;50;48;44;30;10;0
492;4;0;20;18;17;17;14;3;0;0
492;2;3;13;11;10;9;8;4;1;0
492;12;0;9;8;6;2;0;1;1;0
492;12;0;2;2;2;2;2;0;0;0
492;9;0;5;3;3;3;3;2;0;0
492;5;1;28;21;18;17;17;5;0;0
492;6;0;12;10;9;9;9;2;0;0
492;10;2;47;47;47;43;41;2;3;0
492;12;0;8;7;6;6;5;3;0;0
492;11;0;22;19;16;16;14;2;0;0
492;10;3;14;13;10;10;10;5;1;0
492;9;0;15;13;11;11;10;6;3;0
492;2;3;29;23;15;14;11;16;0;0
492;3;0;10;10;10;10;9;0;0;0
492;12;0;9;9;10;9;9;0;1;0
492;9;0;18;17;15;15;14;4;1;0
492;1;0;1;1;1;1;1;0;0;0
492;2;3;21;18;17;13;12;8;5;0
492;9;0;12;11;8;6;5;1;1;0
492;1;0;34;27;25;22;21;11;1;0
492;3;1;26;22;16;14;10;11;2;0
492;8;0;24;20;20;17;14;3;2;0
492;10;0;70;63;61;57;52;14;5;0
492;9;0;57;48;43;34;30;23;5;0
492;4;0;1;1;1;1;1;0;0;0
492;10;0;41;37;28;26;23;6;5;0
492;4;0;11;10;10;9;8;4;2;0
492;5;1;1;1;1;0;0;0;0;0
492;10;0;14;13;13;13;13;1;1;0
492;9;0;10;7;4;4;4;10;6;0
492;11;3;4;4;4;4;4;0;0;0
492;9;0;4;4;4;4;4;1;1;0
492;8;0;4;3;2;2;2;2;0;0
492;2;2;1;1;1;1;1;0;0;0
492;6;0;2;2;2;2;2;1;1;0
492;5;0;6;5;5;4;3;2;1;0
492;4;0;3;3;3;3;2;0;0;0
492;12;0;6;6;4;3;2;2;1;0
492;6;0;2;2;2;2;2;0;0;0
492;12;0;60;52;45;42;38;18;3;0
492;9;3;14;11;10;10;10;4;2;0
492;11;2;5;4;3;3;3;2;1;0
492;8;2;1;1;1;1;1;0;0;0
492;8;2;1;0;0;0;0;1;0;0
492;7;0;2;1;1;1;1;1;0;0
492;4;0;1;1;1;1;1;0;0;0
492;10;3;5;5;5;5;5;0;0;0
492;5;0;25;18;15;14;12;13;5;0
492;1;0;17;17;15;15;14;1;0;0
492;9;0;28;27;26;26;25;0;0;0
492;3;0;10;8;8;8;8;0;0;0
492;12;3;14;14;12;12;12;0;0;0
492;12;0;22;20;18;17;16;6;2;0
492;12;0;4;3;3;3;3;1;0;0
492;6;0;10;8;7;6;6;4;1;0
492;1;0;4;4;4;2;2;0;0;0
492;12;0;16;14;13;11;11;6;2;0
492;7;0;2;1;1;1;1;0;0;0
492;12;0;1;1;1;0;0;1;0;0
492;12;0;5;5;5;5;2;0;0;0
492;11;0;8;7;6;6;6;1;0;0
492;5;2;8;7;5;4;3;8;5;0
492;6;1;3;3;3;3;3;0;0;0
492;11;0;2;2;2;2;2;0;0;0
492;5;0;3;3;3;2;2;1;0;0
